gapdh actb il8 il6 ccl11 col1a1 nanog sox9 eef2 spp1 runx1 pdl1
1288 2389 15 102 18 545 6 55 846 32 1 16
1286 2468 25 96 27 1267 3 72 1236 30 1 10
1097 2498 26 78 23 1176 3 60 1257 23 1 9
728 2289 8 71 19 439 4 64 765 26 0 6
1442 1773 9 22 5 46 1 86 827 66 3 14
975 646 14 22 10 811 1 36 844 26 1 1
1063 1881 7 33 5 431 2 16 806 17 2 4
1941 3341 9 39 11 967 0 72 1150 32 4 29
1126 2459 3 8 9 352 4 51 695 33 0 19
856 1782 1 13 8 286 1 41 685 19 1 8
706 1255 7 10 7 110 2 18 420 12 2 23
708 1194 4 21 10 488 1 62 702 17 0 2
787 1281 5 11 5 250 1 34 653 24 1 6
1109 2251 0 17 12 736 3 25 797 24 4 9
927 1606 7 24 10 42 2 16 624 24 1 12
899 2362 10 16 6 399 3 29 775 30 1 11
1115 1292 4 17 10 194 1 76 728 23 0 10
892 1531 1 14 2 518 0 123 743 30 0 38
992 1625 2 10 7 35 1 12 578 17 1 8
816 1292 0 5 4 257 2 17 542 22 0 26
1161 2004 5 18 6 264 3 64 688 24 2 4
958 1849 2 8 8 66 2 27 702 28 0 11
776 1210 4 10 7 192 1 23 577 27 3 9
664 1061 3 11 3 149 2 13 426 22 1 7
1360 1877 5 21 2 335 2 42 1151 38 1 7
1184 1172 4 14 6 275 0 12 699 31 0 5
1115 2007 6 22 9 564 0 32 944 39 3 14
1451 2704 10 15 15 146 0 58 836 51 1 30
1163 1661 18 71 4 816 2 42 867 113 0 12
1354 2366 3 27 5 552 0 49 905 43 3 15
1530 2968 5 12 8 582 2 30 923 45 2 14
889 869 1 96 2 1442 4 78 1884 68 1 24
877 1252 1 39 3 625 2 40 704 25 0 3
480 753 0 16 6 219 0 19 500 20 0 10
637 1898 0 17 16 280 2 29 629 25 0 6
1101 1889 6 17 9 287 0 40 895 41 0 19
1118 1611 5 82 9 986 1 24 1044 35 0 13
875 1762 5 25 12 570 2 32 744 32 0 7
1753 3063 2 70 9 853 0 20 995 37 1 19
1619 2129 8 26 16 869 6 54 1240 33 2 10
1343 1990 4 17 14 207 1 27 749 41 3 18
991 1408 5 12 7 370 2 17 704 22 1 11
571 576 4 11 10 642 1 12 687 26 1 6
912 1449 3 11 3 139 3 20 567 22 1 7
649 1096 10 14 3 35 0 15 489 18 2 25
987 2321 3 11 12 236 2 31 1032 33 1 12
1053 1999 1 56 10 146 0 24 608 23 2 13
1547 4069 1 302 15 1344 4 50 1326 49 2 16
1174 1897 12 25 5 227 0 33 653 46 3 42
571 1205 6 9 7 309 4 21 429 28 2 3
838 1761 3 31 15 167 0 38 681 28 1 5
807 1587 2 20 12 639 2 31 782 44 1 8
844 798 4 13 6 529 0 26 685 30 0 8
